callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1 ,altitude_1,latitude_2,longitude_2,altitude_2
LLM296,nan,155bec,RA-89068,SU95,nan,nan,2022-02-01 07:04:42+00:00,2022-02-01 08:58:54+00:00,2022-02-01 00:00:00+00:00,58.38334940247616,64.1195068359375,10363.2,50.85771463685116,46.76467895507812,10972.8
SDM6433,nan,155be6,RA-89062,SU95,UUEE,nan,2022-02-01 07:12:16+00:00,2022-02-01 07:35:06+00:00,2022-02-01 00:00:00+00:00,55.97209167480469,37.40320379083806,304.8,54.12583923339844,38.3192138671875,10675.62
GZP789,nan,155bd8,RA-89048,SU95,nan,nan,2022-02-01 07:12:43+00:00,2022-02-01 07:40:10+00:00,2022-02-01 00:00:00+00:00,55.30110168457031,58.68339089786305,10058.4,58.07089078224311,62.03347778320312,10058.4
SDM6490,nan,155c1c,nan,nan,nan,UUEE,2022-02-01 07:13:07+00:00,2022-02-01 08:29:01+00:00,2022-02-01 00:00:00+00:00,51.73955367783368,46.09031677246094,914.4,55.98981954283633,37.5212287902832,655.32
SDM6225,nan,155c14,nan,nan,UUEE,nan,2022-02-01 07:14:34+00:00,2022-02-01 07:38:26+00:00,2022-02-01 00:00:00+00:00,55.96868482686705,37.38312721252441,609.6,56.24514770507812,40.53988370028409,9441.18
SSF332,nan,155c1d,nan,nan,nan,UUEE,2022-02-01 07:16:36+00:00,2022-02-01 08:48:57+00:00,2022-02-01 00:00:00+00:00,62.78951871193061,51.89698439378005,9448.8,55.98916625976562,37.51672918146306,640.08
SDM6239,nan,155c10,nan,nan,UUEE,nan,2022-02-01 07:18:14+00:00,2022-02-01 07:47:41+00:00,2022-02-01 00:00:00+00:00,55.97045381190413,37.39042282104492,304.8,53.21786654197563,37.13451609892004,10058.4
10363,nan,14fc16,nan,nan,nan,UWKD,2022-02-01 07:26:55+00:00,2022-02-01 07:50:58+00:00,2022-02-01 00:00:00+00:00,55.61558532714844,49.00210293856534,2133.6,55.65705871582031,48.9045576615767,1927.86
AZO303,nan,155c05,nan,nan,nan,ULLI,2022-02-01 07:31:35+00:00,2022-02-01 08:47:21+00:00,2022-02-01 00:00:00+00:00,52.82876586914062,36.76773071289062,10972.8,59.80247497558594,30.20022583007812,266.7
SDM6337,nan,155c19,nan,nan,UUEE,nan,2022-02-01 07:36:38+00:00,2022-02-01 07:52:23+00:00,2022-02-01 00:00:00+00:00,55.97016906738281,37.38997025923295,304.8,57.10812377929688,37.28330612182617,10568.94
